iter	RMSE
0	0.00984672728
1	0.00979146114
2	0.009746347031
3	0.009698853883
4	0.009653674011
5	0.009612571549
6	0.009561859868
7	0.009521718011
8	0.009472499359
9	0.009438288501
10	0.009395154212
11	0.009349246961
12	0.009290030907
13	0.009238666134
14	0.009208188276
15	0.009151693556
16	0.009112740028
17	0.009074499644
18	0.009029165935
19	0.00895992661
20	0.008925773103
21	0.008877946947
22	0.008825208922
23	0.00876927996
24	0.008735273512
25	0.008692876439
26	0.0086364405
27	0.008591666126
28	0.008534823342
29	0.008482263158
30	0.008444732943
31	0.008407403546
32	0.008350682128
33	0.008302006652
34	0.008263157645
35	0.008224079121
36	0.008184245794
37	0.008143692593
38	0.008112965458
39	0.008056126649
40	0.008022093479
41	0.00797012319
42	0.007920428385
43	0.007878094298
44	0.007837137273
45	0.007784786899
46	0.007747572901
47	0.007712498721
48	0.007673560104
49	0.007639329296
50	0.007600322736
51	0.007578292542
52	0.00755041502
53	0.007520955829
54	0.007496824845
55	0.007472455301
56	0.007448385023
57	0.007415371185
58	0.007381008212
59	0.007345973694
60	0.007307049424
61	0.007281510646
62	0.00726130201
63	0.007216667882
64	0.007167889757
65	0.007136649429
66	0.007113197963
67	0.007066663291
68	0.007033609754
69	0.006995382596
70	0.006957744
71	0.006923553058
72	0.00689566682
73	0.006849509953
74	0.006820239722
75	0.006781904815
76	0.006757585092
77	0.006727682242
78	0.006690201659
79	0.006668364258
80	0.006627087664
81	0.006597293324
82	0.0065918467
83	0.006558432784
84	0.006507922171
85	0.00648153516
86	0.006440871159
87	0.006403498075
88	0.006383964511
89	0.006353550194
90	0.006335782492
91	0.00629902509
92	0.006263308536
93	0.006225996707
94	0.00619108664
95	0.006164909909
96	0.006117380894
97	0.006095789957
98	0.006068563199
99	0.006018507352
100	0.005995234394
101	0.005975155607
102	0.005954883392
103	0.005937974383
104	0.00592775551
105	0.005918613243
106	0.005897746058
107	0.005878710328
